bin_left,bin_right,D_intra,D_inter,D_clone_anal,D_clone_ml
0.0,4.839638564023501e-07,0.0,0.0,0.0,0.0
4.839638564023501e-07,9.679277128047002e-07,0.0,0.0,0.0,0.0
9.679277128047002e-07,1.4518915692070503e-06,0.0,0.0,0.0,0.0
1.4518915692070503e-06,1.9358554256094003e-06,0.0,0.0,0.0,0.0
1.9358554256094003e-06,2.4198192820117504e-06,0.0,0.0,0.0,0.0
2.4198192820117504e-06,2.9037831384141005e-06,0.0,0.0,0.0,0.0
2.9037831384141005e-06,3.3877469948164506e-06,0.0,0.0,0.0,0.0
3.3877469948164506e-06,3.871710851218801e-06,0.0,0.0,0.0,0.0
3.871710851218801e-06,4.355674707621151e-06,0.0,0.0,0.0,0.0
4.355674707621151e-06,4.839638564023501e-06,0.0,0.0,0.0,0.0
4.839638564023501e-06,5.323602420425851e-06,0.0,0.0,0.0,0.0
5.323602420425851e-06,5.807566276828201e-06,0.0,0.0,0.0,0.0
5.807566276828201e-06,6.291530133230551e-06,0.0,0.0,0.0,0.0
6.291530133230551e-06,6.775493989632901e-06,0.0,0.0,0.0,0.0
6.775493989632901e-06,7.259457846035251e-06,0.0,0.0,0.0,0.0
7.259457846035251e-06,7.743421702437601e-06,0.0,0.0,0.0,0.0
7.743421702437601e-06,8.227385558839952e-06,0.0,0.0,0.0,0.0
8.227385558839952e-06,8.711349415242302e-06,0.0,0.0,0.0,0.0
8.711349415242302e-06,9.19531327164465e-06,0.0,0.0,2.0662700050241725,0.0
9.19531327164465e-06,9.679277128047002e-06,0.0,0.0,4.132540010048331,0.0
9.679277128047002e-06,1.0163240984449353e-05,0.0,0.0,30.994050075362477,0.0
1.0163240984449353e-05,1.0647204840851702e-05,0.12522848515298016,0.0,55.78929013565266,0.0
1.0647204840851702e-05,1.1131168697254051e-05,0.6261424257649008,0.0,163.23533039690963,0.0
1.1131168697254051e-05,1.1615132553656402e-05,2.0036557624476754,0.0,361.5972508792289,0.0
1.1615132553656402e-05,1.2099096410058753e-05,4.341254151969963,0.0,816.1766519845453,0.0
1.2099096410058753e-05,1.2583060266461102e-05,11.479277805689845,0.0,1795.5886343660059,0.0
1.2583060266461102e-05,1.3067024122863451e-05,28.80255158518543,0.0,3663.4967189078575,0.0
1.3067024122863451e-05,1.3550987979265802e-05,64.36744136863156,0.0,6434.3647956452505,0.0
1.3550987979265802e-05,1.4034951835668153e-05,133.41007951630772,0.0,10845.851256371843,0.0
1.4034951835668153e-05,1.4518915692070503e-05,271.244898841355,0.0,17734.79545312247,0.0
1.4518915692070503e-05,1.5002879548472852e-05,516.3170442857372,0.0,27605.367267122943,0.0
1.5002879548472852e-05,1.5486843404875203e-05,960.5442239517386,0.0,40058.77658740349,0.0
1.5486843404875203e-05,1.5970807261277554e-05,1689.7914358259238,0.0,55764.49489559217,0.0
1.5970807261277554e-05,1.6454771117679905e-05,2855.543404115012,0.0,74158.43048031729,0.0
1.6454771117679905e-05,1.6938734974082252e-05,4653.323536971221,0.0,93523.51296740441,0.0
1.6938734974082252e-05,1.7422698830484603e-05,7273.395646170214,0.0,112363.7628732141,0.0
1.7422698830484603e-05,1.7906662686886954e-05,10983.164290342085,0.0,130329.98056689922,0.0
1.7906662686886954e-05,1.83906265432893e-05,15929.522482571358,0.0,144570.71344152675,0.0
1.83906265432893e-05,1.8874590399691652e-05,22374.36472814096,0.0,154168.53761486302,0.0
1.8874590399691652e-05,1.9358554256094003e-05,30498.98013072436,0.0,158206.02920468024,0.0
1.9358554256094003e-05,1.9842518112496354e-05,40188.074998323944,0.0,155699.6436885859,0.0
1.9842518112496354e-05,2.0326481968898705e-05,51186.39193536954,0.0,149874.82854442278,0.0
2.0326481968898705e-05,2.0810445825301053e-05,63514.84409888214,0.0,136014.28935072164,0.0
2.0810445825301053e-05,2.1294409681703404e-05,76268.73916928691,0.0,121633.0501157525,0.0
2.1294409681703404e-05,2.1778373538105755e-05,89251.2597107531,0.0,103222.5843709872,0.0
2.1778373538105755e-05,2.2262337394508102e-05,101335.1406427622,0.0,86221.31476964898,0.0
2.2262337394508102e-05,2.2746301250910453e-05,112195.08010371303,0.0,69321.29239855571,0.0
2.2746301250910453e-05,2.3230265107312804e-05,120718.79868847899,0.0,53675.49592051274,0.0
2.3230265107312804e-05,2.3714228963715155e-05,126659.01188171058,0.0,40788.16989917702,2.0662700050241654
2.3714228963715155e-05,2.4198192820117506e-05,129486.12841969586,0.0,30417.560743960734,0.0
2.4198192820117506e-05,2.4682156676519854e-05,129168.29852437851,0.0,21675.172352703645,0.0
2.4682156676519854e-05,2.5166120532922204e-05,125902.25614593113,0.0,15482.561147646069,0.0
2.5166120532922204e-05,2.5650084389324555e-05,119711.71121087873,0.0,10434.663525372034,4.132540010048331
2.5650084389324555e-05,2.6134048245726903e-05,111131.59806496633,0.0,7145.161677373613,4.132540010048359
2.6134048245726903e-05,2.6618012102129254e-05,100811.01768956789,0.0,4923.921421972585,2.0662700050241654
2.6618012102129254e-05,2.7101975958531605e-05,89489.98694628304,0.0,3244.0439078879394,10.331350025120827
2.7101975958531605e-05,2.7585939814933956e-05,77560.93016475214,0.0,2287.360895561751,6.198810015072496
2.7585939814933956e-05,2.8069903671336307e-05,65847.64206313979,0.0,1659.2148140344045,12.397620030144992
2.8069903671336307e-05,2.8553867527738654e-05,54733.11309187261,0.04174282838432686,1223.2318429743143,26.861510065314334
2.8553867527738654e-05,2.9037831384141005e-05,44552.99733398782,0.0,983.5445223915026,26.861510065314146
2.9037831384141005e-05,2.9521795240543356e-05,35490.086634981526,0.041742828384326566,834.7730820297627,53.72302013062829
2.9521795240543356e-05,3.0005759096945704e-05,27676.497046689932,0.08348565676865372,758.3210918438739,57.85556014067703
3.0005759096945704e-05,3.0489722953348055e-05,21198.385766897714,0.041742828384326566,747.9897418187478,90.91588022106328
3.0489722953348055e-05,3.0973686809750405e-05,15856.973446839287,0.041742828384326566,741.7909318036753,115.71112028135325
3.0973686809750405e-05,3.145765066615275e-05,11660.77562350494,0.0,708.7306117232937,159.10279038686184
3.145765066615275e-05,3.194161452255511e-05,8392.60436081072,0.1669713135373051,719.0619617484044,212.82581051748753
3.194161452255511e-05,3.2425578378957455e-05,5948.019102139503,0.25045697030596115,700.4655317031969,262.41629063807085
3.2425578378957455e-05,3.290954223535981e-05,4110.833739288451,0.29219979869028395,789.3151419192255,274.81391066821203
3.290954223535981e-05,3.339350609176216e-05,2813.3831474468616,0.6678852541492297,737.6583917936322,371.9286009043523
3.339350609176216e-05,3.3877469948164504e-05,1894.5817518794433,0.4174282838432686,719.0619617484145,516.5675012560449
3.3877469948164504e-05,3.436143380456686e-05,1218.6818746804056,1.0018278812238306,716.9956917433803,611.6159214871486
3.436143380456686e-05,3.4845397660969206e-05,789.3986275760053,0.7931137393022103,725.2607717634871,731.4595817785596
3.4845397660969206e-05,3.5329361517371554e-05,499.2024846481649,1.3357705082984594,688.0679116730519,743.8572018087046
3.5329361517371554e-05,3.581332537377391e-05,305.7244750868056,1.79494162052603,667.4052116228007,1024.8699224919787
3.581332537377391e-05,3.6297289230176256e-05,185.17118671287395,1.9619129340633623,644.676241567544,1126.1171527381778
3.6297289230176256e-05,3.67812530865786e-05,112.07949421191762,2.2958555611379774,580.6218714117945,1252.159623044653
3.67812530865786e-05,3.726521694298096e-05,66.20412581754148,3.172454957208797,586.8206814268588,1576.564013833427
3.726521694298096e-05,3.7749180799383305e-05,37.234602918819554,4.007311524895378,514.5012312510207,1603.4255238987635
3.7749180799383305e-05,3.823314465578566e-05,23.000298439763778,5.593539003499721,533.0976612962309,2014.613254898547
3.823314465578566e-05,3.871710851218801e-05,11.228820835383926,5.885738802190087,471.10956114551294,2078.6676250543246
3.871710851218801e-05,3.9201072368590354e-05,7.5971947659474885,8.265080020096718,411.1877309998118,2378.2767757828306
3.9201072368590354e-05,3.968503622499271e-05,4.25776849520128,9.433879214857738,417.38654101487845,2739.874026662024
3.968503622499271e-05,4.0169000081395056e-05,1.8366844489103817,11.521020634074214,320.2718507787479,2944.434757159456
4.0169000081395056e-05,4.065296393779741e-05,0.8348565676865256,13.482933568137389,270.6813706581637,3316.3633580637616
4.065296393779741e-05,4.113692779419976e-05,0.5009139406119223,15.737046300891226,260.35002063304665,3411.4117782949206
4.113692779419976e-05,4.1620891650602106e-05,0.2087141419216343,20.287014594782853,291.34407070840933,3760.6114091440068
4.1620891650602106e-05,4.210485550700446e-05,0.1669713135373051,26.71541016596882,262.41629063806715,3884.587609445403
4.210485550700446e-05,4.258881936340681e-05,0.04174282838432686,28.84429441356986,229.35597055768395,3930.04554955599
4.258881936340681e-05,4.3072783219809155e-05,0.0,34.771776044144275,181.8317604421278,4155.268980103625
4.3072783219809155e-05,4.355674707621151e-05,0.12522848515297882,37.77725968781528,173.56668042202867,4479.673370892358
4.355674707621151e-05,4.404071093261386e-05,0.0,44.49785505769243,148.77144036174096,4490.004720917543
4.404071093261386e-05,4.4524674789016204e-05,0.0,51.76110719656531,154.97025037681348,4742.089661530492
4.4524674789016204e-05,4.500863864541856e-05,0.0,60.652329642426075,159.1027903868596,5025.168652218735
4.500863864541856e-05,4.5492602501820906e-05,0.0,68.66695269221768,119.84366029140241,4961.114282063055
4.5492602501820906e-05,4.597656635822326e-05,0.0,73.46737795641424,128.10874031149734,5025.168652218735
4.597656635822326e-05,4.646053021462561e-05,0.0,84.0700563660343,74.38572018087048,5213.199222676006
4.646053021462561e-05,4.6944494071027956e-05,0.0,93.42044992412352,70.25318017082212,5316.512722927214
4.6944494071027956e-05,4.742845792743031e-05,0.0,104.31532813243136,88.84961021603849,5237.994462736222
4.742845792743031e-05,4.791242178383266e-05,0.0,116.75469099096223,61.98810015072539,5531.404803449729
4.791242178383266e-05,4.839638564023501e-05,0.0,126.93994111673621,74.38572018086943,5378.500823077865
4.839638564023501e-05,4.888034949663736e-05,0.0,134.20319325561087,39.25913009545941,5465.284163288955
4.888034949663736e-05,4.936431335303971e-05,0.0,151.10903875126326,33.06032008038687,5649.1821937361065
4.936431335303971e-05,4.984827720944206e-05,0.0,161.54474584734268,39.259130095458865,5752.495693987235
4.984827720944206e-05,5.033224106584441e-05,0.0,175.02767941548254,26.861510065314334,5498.344483369342
5.033224106584441e-05,5.0816204922246756e-05,0.0,186.13127176571348,12.397620030145077,5647.115923731083
5.0816204922246756e-05,5.130016877864911e-05,0.0,199.2385198783893,6.198810015072452,5839.27903419825
5.130016877864911e-05,5.178413263505146e-05,0.0,210.00816960154845,10.331350025120898,5673.977433796397
5.178413263505146e-05,5.2268096491453806e-05,0.0,225.57824458890238,8.265080020096718,5793.8210940878
5.2268096491453806e-05,5.275206034785616e-05,0.0,234.88689531860393,8.265080020096603,5562.398853525014
5.275206034785616e-05,5.323602420425851e-05,0.0,247.61845797582697,4.132540010048359,5459.085353273883
5.323602420425851e-05,5.371998806066086e-05,0.0,262.3119335671063,4.132540010048301,5731.832993936993
5.371998806066086e-05,5.420395191706321e-05,0.0,278.8003507789191,4.132540010048359,5640.91711371601
5.420395191706321e-05,5.468791577346556e-05,0.0,296.9584811261013,2.0662700050241796,5678.109973806445
5.468791577346556e-05,5.517187962986791e-05,0.0,295.24702516233975,0.0,5750.429423982211
5.517187962986791e-05,5.565584348627026e-05,0.0,322.50509209730933,2.0662700050241796,5690.507593836591
5.565584348627026e-05,5.613980734267261e-05,0.0,327.43074584665527,0.0,5704.97148387168
5.613980734267261e-05,5.662377119907496e-05,0.0,339.74488022003635,0.0,5636.784573705962
5.662377119907496e-05,5.710773505547731e-05,0.0,349.4709592335845,0.0,5492.145673354269
5.710773505547731e-05,5.759169891187966e-05,0.0,371.05200150827625,0.0,5415.693683168299
5.759169891187966e-05,5.807566276828201e-05,0.0,375.26802717509844,0.0,5419.826223178423
5.807566276828201e-05,5.855962662468436e-05,0.0,395.76375591180295,0.0,5275.18732282673
5.855962662468436e-05,5.904359048108671e-05,0.0,412.54437292229665,0.0,5421.892493183372
5.904359048108671e-05,5.952755433748906e-05,0.0,421.60256668170126,0.0,5085.090482364506
5.952755433748906e-05,6.001151819389141e-05,0.0,439.5519828869618,0.0,5211.1329526709815
6.001151819389141e-05,6.049548205029376e-05,0.0,456.54131403937646,0.0,5316.512722927139
6.049548205029376e-05,6.097944590669611e-05,0.0,474.07330196080017,0.0,5271.054782816682
6.097944590669611e-05,6.146340976309846e-05,0.0,491.48006139706445,0.0,5085.090482364506
6.146340976309846e-05,6.194737361950081e-05,0.0,509.34599194554926,0.0,5368.169473052744
6.194737361950081e-05,6.243133747590317e-05,0.0,536.8545158508202,0.0,5407.428603148202
6.243133747590317e-05,6.29153013323055e-05,0.0,553.134218920723,0.0,5192.536522625836
6.29153013323055e-05,6.339926518870786e-05,0.0,583.522997984497,0.0,5217.331762685981
6.339926518870786e-05,6.388322904511021e-05,0.0,608.4017237015555,0.0,5601.657983620473
6.388322904511021e-05,6.436719290151256e-05,0.0,626.7268253622923,0.0,5312.38018291724
6.436719290151256e-05,6.485115675791491e-05,0.0,642.3803860063971,0.0,5463.217893283854
6.485115675791491e-05,6.533512061431726e-05,0.0,678.7801323575296,0.0,5488.013133344144
6.533512061431726e-05,6.581908447071962e-05,0.0,692.3048087540512,0.0,5758.694504002307
6.581908447071962e-05,6.630304832712196e-05,0.0,730.9586678379578,0.0,5676.043703801502
6.630304832712196e-05,6.678701218352431e-05,0.0,753.4997951654735,0.0,5795.887364092743
6.678701218352431e-05,6.727097603992667e-05,0.0,788.9811992921509,0.0,6153.352074961921
6.727097603992667e-05,6.775493989632901e-05,0.0,824.9635173594634,0.0,6196.743745067602
6.775493989632901e-05,6.823890375273136e-05,0.0,854.6009255123118,0.0,6496.35289579593
6.823890375273136e-05,6.872286760913372e-05,0.0,891.1676431769816,0.0,6866.215226695253
6.872286760913372e-05,6.920683146553606e-05,0.0,917.215168088827,0.0,6717.4437863337025
6.920683146553606e-05,6.969079532193841e-05,0.0,950.4007166543406,0.0,7017.052937062015
6.969079532193841e-05,7.017475917834077e-05,0.0,983.8784650185704,0.0,7207.149777524238
7.017475917834077e-05,7.065872303474311e-05,0.0,1019.6520689439665,0.0,7293.933117735456
7.065872303474311e-05,7.114268689114546e-05,0.0,1051.9610181134065,0.0,7442.704558096991
7.114268689114546e-05,7.162665074754782e-05,0.0,1097.3772153955533,0.0,7465.433528152256
7.162665074754782e-05,7.211061460395016e-05,0.0,1119.793114237968,0.0,7424.108128051981
7.211061460395016e-05,7.259457846035251e-05,0.0,1154.898832909155,0.0,8041.922859553994
7.259457846035251e-05,7.307854231675487e-05,0.0,1197.643489174705,0.0,7738.181168815444
7.307854231675487e-05,7.35625061731572e-05,0.0,1217.7635324559847,0.0,8258.881210081761
7.35625061731572e-05,7.404647002955956e-05,0.0,1265.7677850979258,0.0,8411.785190453318
7.404647002955956e-05,7.453043388596191e-05,0.0,1303.545044785741,0.0,8531.628850744719
7.453043388596191e-05,7.501439774236427e-05,0.0,1314.8156084495092,0.0,8791.978871377762
7.501439774236427e-05,7.549836159876661e-05,0.0,1354.095609959198,0.0,8843.635621503612
7.549836159876661e-05,7.598232545516896e-05,0.0,1393.0834116701208,0.0,8866.36459155863
7.598232545516896e-05,7.646628931157132e-05,0.0,1422.8460483081456,0.0,9428.3900329252
7.646628931157132e-05,7.695025316797366e-05,0.0,1457.1169104117182,0.0,9254.82335250343
7.695025316797366e-05,7.743421702437601e-05,0.0,1502.0321937532124,0.0,9639.149573437662
7.743421702437601e-05,7.791818088077837e-05,0.0,1518.1449255095624,0.0,9971.819044246551
7.791818088077837e-05,7.840214473718071e-05,0.0,1544.5263930484998,0.0,9858.174193970499
7.840214473718071e-05,7.888610859358306e-05,0.0,1564.4794650161643,0.0,10339.61510514085
7.888610859358306e-05,7.937007244998542e-05,0.0,1611.6488610904532,0.0,10515.248055567903
7.937007244998542e-05,7.985403630638776e-05,0.0,1634.6491595302628,0.0,10810.72466628666
7.985403630638776e-05,8.033800016279011e-05,0.0,1660.237513329809,0.0,10980.158806698337
8.033800016279011e-05,8.082196401919247e-05,0.0,1702.9821695953592,0.0,11133.062787070123
8.082196401919247e-05,8.130592787559482e-05,0.0,1730.6576648141674,0.0,11277.701687421813
8.130592787559482e-05,8.178989173199716e-05,0.0,1750.4855082967715,0.0,11381.01518767334
8.178989173199716e-05,8.227385558839952e-05,0.0,1759.376730742584,0.0,11610.371158230704
8.227385558839952e-05,8.275781944480187e-05,0.0,1800.9943306417572,0.0,11668.226718371378
8.275781944480187e-05,8.324178330120421e-05,0.0,1820.1125460418298,0.0,11872.787448869103
8.324178330120421e-05,8.372574715760657e-05,0.0,1858.641176640512,0.0,11647.564018321136
8.372574715760657e-05,8.420971101400892e-05,0.0,1870.0787116178174,0.0,11856.257288828578
8.420971101400892e-05,8.469367487041126e-05,0.0,1910.4022838371297,0.0,11850.058478813835
8.469367487041126e-05,8.517763872681362e-05,0.0,1940.3736346170226,0.0,11783.937838652731
8.517763872681362e-05,8.566160258321597e-05,0.0,1978.4430941035282,0.0,11724.016008507031
8.566160258321597e-05,8.614556643961831e-05,0.0,2011.2112143852808,0.0,12091.812069401669
8.614556643961831e-05,8.662953029602066e-05,0.0,2028.82668796341,0.0,11721.949738502006
8.662953029602066e-05,8.711349415242302e-05,0.0,2055.6255837861477,0.0,11887.251338903938
8.711349415242302e-05,8.759745800882536e-05,0.0,2082.883650721171,0.0,11918.245388979636
8.759745800882536e-05,8.808142186522771e-05,0.0,2117.613683936872,0.0,12062.884289330992
8.808142186522771e-05,8.856538572163007e-05,0.0,2161.9445676810265,0.0,11992.63110916017
8.856538572163007e-05,8.904934957803241e-05,0.0,2200.8906265636647,0.0,11907.914038954514
8.904934957803241e-05,8.953331343443476e-05,0.0,2242.8839119182353,0.0,11825.263238753214
8.953331343443476e-05,9.001727729083712e-05,0.0,2264.3814685361635,0.0,11769.473948617562
9.001727729083712e-05,9.050124114723947e-05,0.0,2307.8357528842466,0.0,11996.76364917022
9.050124114723947e-05,9.098520500364181e-05,0.0,2333.883277796132,0.0,12011.227539205725
9.098520500364181e-05,9.146916886004417e-05,0.0,2383.5989864017993,0.0,11996.76364917022
9.146916886004417e-05,9.195313271644652e-05,0.0,2424.3399869049013,0.0,11659.961638351282
9.195313271644652e-05,9.243709657284886e-05,0.0,2468.754356305894,0.0,11839.727128788716
9.243709657284886e-05,9.292106042925122e-05,0.0,2498.183050316775,0.0,11858.323558833601
9.292106042925122e-05,9.340502428565357e-05,0.0,2556.956952681906,0.0,11878.986258883842
9.340502428565357e-05,9.388898814205591e-05,0.0,2584.173276788559,0.0,11583.509648165713
9.388898814205591e-05,9.437295199845827e-05,0.0,2640.4008666221744,0.0,11600.039808205582
9.437295199845827e-05,9.485691585486062e-05,0.0,2679.2216970195977,0.0,11126.863977055053
9.485691585486062e-05,9.534087971126296e-05,0.0,2734.489201800522,0.0,11273.569147412083
9.534087971126296e-05,9.582484356766532e-05,0.0,2765.337151976463,0.0,10759.067916160753
9.582484356766532e-05,9.630880742406767e-05,0.0,2830.5394499127806,0.0,10726.007596080366
9.630880742406767e-05,9.679277128047002e-05,0.0,2863.391055851245,0.0,10463.591305442298
9.679277128047002e-05,9.727673513687236e-05,0.0,2914.734734764048,0.0,10409.868285311963
9.727673513687236e-05,9.776069899327472e-05,0.0,2975.8462355186202,0.0,9854.041653960174
9.776069899327472e-05,9.824466284967707e-05,0.0,2987.742941608153,0.0,9992.481744296792
9.824466284967707e-05,9.872862670607941e-05,0.0,3040.547619514411,0.0,9761.059503734361
9.872862670607941e-05,9.921259056248177e-05,0.0,3103.8714901733492,0.0,9436.655112945295
9.921259056248177e-05,9.969655441888412e-05,0.0,3123.490619513982,0.0,9263.088432523267
9.969655441888412e-05,0.00010018051827528646,0.0,3177.464096615005,0.0,9316.811452654156
0.00010018051827528646,0.00010066448213168882,0.0,3235.7370850394354,0.0,9029.599921955538
0.00010066448213168882,0.00010114844598809117,0.0,3274.4326869517063,0.0,8994.47333187013
0.00010114844598809117,0.00010163240984449351,0.0,3319.139256151412,0.0,8705.19553116699
0.00010163240984449351,0.00010211637370089587,0.0,3384.9676965134017,0.0,8711.39434118182
0.00010211637370089587,0.00010260033755729822,0.0,3428.0462954060267,0.0,8554.357820799984
0.00010260033755729822,0.00010308430141370056,0.0,3454.1773059747115,0.0,8306.405420197318
0.00010308430141370056,0.00010356826527010292,0.0,3519.296118254164,0.0,8085.314529659502
0.00010356826527010292,0.00010405222912650527,0.0,3532.1111665681524,0.0,7955.139519342981
0.00010405222912650527,0.00010453619298290761,0.0,3593.4313814648285,0.0,7820.831969016629
0.00010453619298290761,0.00010502015683930997,0.0,3661.722648701485,0.0,7738.181168815444
0.00010502015683930997,0.00010550412069571232,0.0,3691.3183140259725,0.0,7626.6025885441395
0.00010550412069571232,0.00010598808455211467,0.0,3758.6912390382754,0.0,7506.758928252739
0.00010598808455211467,0.00010647204840851702,0.0,3814.8353432153012,0.0,7192.6858874892705
0.00010647204840851702,0.00010695601226491937,0.0,3828.8609335523274,0.0,7205.0835075192135
0.00010695601226491937,0.00010743997612132172,0.0,3881.623868630116,0.0,7072.842227197668
0.00010743997612132172,0.00010792393997772406,0.0,3914.0580462848475,0.0,7163.758107418931
0.00010792393997772406,0.00010840790383412642,0.0,3999.1716733603785,0.0,7068.709687187619
0.00010840790383412642,0.00010889186769052877,0.0,4016.077518856031,0.0,7229.878747579503
0.00010889186769052877,0.00010937583154693111,0.0,4052.7277221775826,0.0,7347.656137866086
